ID,Show,Week End,Grosses
2,All My Sons,06/02/2019,475818
3,Be More Chill,06/02/2019,396876
4,Beetlejuice,06/02/2019,749093
5,Burn This,06/02/2019,683046
6,Gary: A Sequel To Titus Andronicus,06/02/2019,206060
7,Hadestown,06/02/2019,1181102
8,Hillary and Clinton,06/02/2019,290537
9,Ink,06/02/2019,385970
10,King Kong,06/02/2019,682452
11,King Lear,06/02/2019,285108
12,Kiss Me Kate,06/02/2019,740119
13,Network,06/02/2019,1037755
14,Oklahoma,06/02/2019,526781
15,The Cher Show,06/02/2019,788291
16,The Ferryman,06/02/2019,542335
17,The Prom,06/02/2019,602277
18,To Kill A Mockingbird,06/02/2019,1593907
19,Tootsie,06/02/2019,1086945
20,What The Constitution Means To Me,06/02/2019,484311
