Grosses,Ticket,Attendance
1445892,127.22,11365
477448,81.28,5874
630822,98.69,6392
834395,69.67,11977
932391,124.83,7469
354408,61.77,5738
959450,129.36,7417
493353,80.09,6160
327495,71.16,4602
807055,79.31,10176
582678,93.92,6204
795891,100.06,7954
1052594,146.25,7197
651744,123.76,5266
997823,105.1,9494
595398,102.32,5819
615458,82.93,7421
1756185,150.6,11661
959001,93.54,10252
478075,105.09,4549
