Show,Performing,Before,After,updown,Percentage,,,,,,,,,,,,,,,,,,,
,,,,,,,"4,467,328",0,Decrease,,,"4,467,328",,,100.0000000000,100,,,,,,,,
,,,,,,,"5,769,297","2,298,658",Decrease,,,"3,470,639",,,60.1570520600,60.16,,,,,,,,
,,,,,,,"8,285,633",0,Decrease,,,"8,285,633",,,100.0000000000,100,,,,,,,,
,,,,,,,"3,331,783","4,531,547",Increase,,,"1,199,764",,,36.0096681000,36.01,,,,,,,,
,,,,,,,"6,977,672","6,273,480",Decrease,,,"704,192",,,10.0920765600,10.09,,,,,,,,
,,,,,,,"4,403,032","3,499,561",Decrease,,,"903,471",,,20.5192921600,20.52,,,,,,,,
,,,,,,,"4,574,038","5,667,845",Increase,,,"1,093,807",,,23.9133780700,23.91,,,,,,,,
,,,,,,,"12,965,297","15,401,759",Increase,,,"2,436,462",,,18.7921803900,18.79,,,,,,,,
,,,,,,,"3,839,942","7,791,808",Increase,,,"3,951,866",,,102.9147315000,102.91,,,,,,,,
,,,,,,,"3,173,648","3,861,920",Increase,,,"688,272",,,21.6870932100,21.69,,,,,,,,
