Grosses,Ticket,Attendance
1513346,133.25,11357
475818,91.49,5201
396876,80.02,4960
749093,78.38,9557
683046,110.87,6161
206060,41.82,4927
1181102,158.84,7436
290537,55.17,5266
385970,96.18,4013
682452,71.33,9567
285108,56.68,5030
740119,100.3,7379
1037755,142.29,7293
526781,101.15,5208
788291,103.57,7611
542335,97.88,5541
602277,86.67,6949
1593907,137.16,11621
1086945,102.62,10592
484311,107.05,4524
