Show,Wins
American Psycho,0
Blackbird,0
Bright Star,0
Disaster,0
Eclipsed,1
Fiddler On The Roof,0
Fully Committed,0
Hamilton,11
Long Day's Journey Into Night,2
On Your Feet,0
School of Rock,0
She Loves Me,1
Shuffle Along,0
The Color Purple,2
The Crucible,0
The Father,1
The Humans,4
Tuck Everlasting,0
Waitress,0
