Show,Grosses
Ain't Too Proud,5522295
All My Sons,1633163
Be More Chill,2510973
Beetlejuice,3084491
Burn This,3277819
Gary A Sequel To Titus Andronicus,1424904
Hadestown,3039199
Hillary and Clinton,1601561
Ink,1224647
King Kong,3335344
King Lear,2304702
Kiss Me Kate,2975447
Network,4091177
Oklahoma,2307123
The Cher Show,3534808
The Ferryman,2149581
The Prom,2408977
To Kill A Mockingbird,6610590
Tootsie,3485196
What The Constitution Means To Me,1808870
