Show,Nominations
Ain't Too Proud,12
All My Sons,3
Be More Chill,1
Beetlejuice,8
Burn This,14
Gary A Sequel To Titus Andronicus,7
Hadestown,14
Hillary and Clinton,1
Ink,6
King Kong,3
King Lear,1
Kiss Me Kate,4
Network,5
Oklahoma,8
The Cher Show,3
The Ferryman,9
The Prom,7
To Kill A Mockingbird,9
Tootsie,11
What The Constitution Means To Me,2
