ID,Show,Week End,Grosses,Ticket,Nominations
11,King Lear,05/19/2019,427075,0,1
12,Kiss Me Kate,05/19/2019,772487,0,4
13,Network,05/19/2019,1015836,0,5
14,Oklahoma,05/19/2019,631293,0,8
15,The Cher Show,05/19/2019,1006889,0,3
16,The Ferryman,05/19/2019,566640,0,9
17,The Prom,05/19/2019,627990,0,7
18,To Kill A Mockingbird,05/19/2019,1610208,0,9
19,Tootsie,05/19/2019,1311986,0,11
20,What The Constitution Means To Me,05/19/2019,489363,0,2
1,Ain't Too Proud,05/26/2019,1576625,0,12
2,All My Sons,05/26/2019,503225,0,3
3,Be More Chill,05/26/2019,448182,0,1
4,Beetlejuice,05/26/2019,833073,0,8
5,Burn This,05/26/2019,770468,0,14
6,Gary: A Sequel To Titus Andronicus,05/26/2019,263248,0,7
7,Hadestown,05/26/2019,1197934,0,14
8,Hillary and Clinton,05/26/2019,330102,0,1
9,Ink,05/26/2019,422913,0,6
10,King Kong,05/26/2019,700004,0,3
11,King Lear,05/26/2019,358474,0,1
12,Kiss Me Kate,05/26/2019,791721,0,4
13,Network,05/26/2019,1008529,0,5
14,Oklahoma,05/26/2019,604896,0,8
15,The Cher Show,05/26/2019,916761,0,3
16,The Ferryman,05/26/2019,579679,0,9
17,The Prom,05/26/2019,640384,0,7
18,To Kill A Mockingbird,05/26/2019,1647412,0,9
19,Tootsie,05/26/2019,1223722,0,11
20,What The Constitution Means To Me,05/26/2019,524797,0,2
1,Ain't Too Proud,06/02/2019,1513346,0,12
2,All My Sons,06/02/2019,475818,0,3
3,Be More Chill,06/02/2019,396876,0,1
4,Beetlejuice,06/02/2019,749093,0,8
5,Burn This,06/02/2019,683046,0,14
6,Gary: A Sequel To Titus Andronicus,06/02/2019,206060,0,7
7,Hadestown,06/02/2019,1181102,0,14
8,Hillary and Clinton,06/02/2019,290537,0,1
9,Ink,06/02/2019,385970,0,6
10,King Kong,06/02/2019,682452,0,3
11,King Lear,06/02/2019,285108,0,1
12,Kiss Me Kate,06/02/2019,740119,0,4
13,Network,06/02/2019,1037755,0,5
14,Oklahoma,06/02/2019,526781,0,8
15,The Cher Show,06/02/2019,788291,0,3
16,The Ferryman,06/02/2019,542335,0,9
17,The Prom,06/02/2019,602277,0,7
18,To Kill A Mockingbird,06/02/2019,1593907,0,9
19,Tootsie,06/02/2019,1086945,0,11
20,What The Constitution Means To Me,06/02/2019,484311,0,2
